,company_ID,company_name,company_pic,company_address,company_phone,company_email,company_field,transaction_date,level_training_process,purchasing_time_patterns,number_of_participants,group,total_payment,satisfaction,communication_channel,complaints,communication_quality,possibility_of_purchasing_the_same_training,frequency_engagement,brand_sustainability,rating_training,tren_mode_factor,interest_in_discount_program,prefered_category,training_ID,training_type,training_name,trainer_name,training_total_meetings,training_price,discount_training,cross_selling,upselling
0,P0001,Tribakti Inspektama,Lasmanto Pratiwi,"Jalan Cihampelas No. 282
Pontianak, Kalimantan Tengah 30563",+62 (183) 655 1415,muhammadnasyidah@example.org,Aktivitas Keuangan dan Asuransi,2020-01-01,4,diskon,14,Group,33600000.0,4,social media,positif,bagus,80,25,80,5,Ya,5,Credit & Collection Series,B0001,Credit & Collection Series,Managing Corporate Collection,Ibun,17,4000000,40,Professional Debt Collection Skills,Managing Corporate Collection
1,P0002,Bank Bukopin Syariah,Puti Gina Napitupulu,"Jalan Tubagus Ismail No. 02
Sukabumi, BB 74318",(097) 773 7113,januarkamaria@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-01-02,4,peristiwa khusus,15,Group,82500000.0,5,social media,positif,bagus,80,25,80,5,Ya,5,HR Series,B0002,HR Series,Build A Great and Strong Corporate Culture,Reza,17,11000000,50,Planning and organizing for stellar performance,Build A Great and Strong Corporate Culture
2,P0003,Bank Bukopin Syariah,"Karna Purwanti, S.I.Kom","Gg. Pelajar Pejuang No. 660
Jambi, Jambi 60449",+62 (0801) 007-5669,rprasetyo@example.net,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2020-01-03,4,peristiwa khusus,11,Group,57750000.0,3,email,positif,bagus,60,18,60,4,Ya,4,Other Series,B0003,Other Series,Health And Safety Environment,Ibun,14,7000000,25,Information Security Awareness,Health And Safety Environment
3,P0004,Kementrian Agama,Tania Yolanda,"Jl. Cihampelas No. 8
Tual, ST 59647",+62-0247-253-2150,iswahyudiraisa@example.net,Konstruksi,2020-01-04,4,diskon,20,Group,110000000.0,5,social media,positif,bagus,80,22,80,5,Ya,5,HR Series,B0004,HR Series,Build A Great and Strong Corporate Culture,Reza,17,11000000,50,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
4,P0005,M3kom,Zaenab Anggriawan,"Gang Moch. Ramdan No. 083
Payakumbuh, SS 13214",(025) 406 2520,mulyono67@example.com,Informasi Dan Komunikasi,2020-01-05,5,diskon,17,Group,85000000.0,5,social media,positif,bagus,80,24,90,5,Ya,5,Training Series,B0005,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,50,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
5,P0006,Artha Asia Finance,Suci Wibisono,"Jalan Pacuan Kuda No. 75
Batu, JA 99918",+62 (48) 272-1239,kadirfirgantoro@example.org,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-01-06,4,diskon,9,Group,21600000.0,3,social media,positif,bagus,75,16,70,4,Ya,4,Other Series,B0006,Other Series,Information Security Awareness,Ibun,12,3000000,20,Health And Safety Environment,Information Security Awareness
6,P0007,Bank Mega,Sutan Joko Mayasari,"Jalan Veteran No. 731
Tegal, GO 71582",(0240) 034 3880,balidin10@example.com,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-01-07,3,bulan,6,Retail,28500000.0,3,phone,netral,sedang,50,14,45,3,Tidak,3,Other Series,B0007,Other Series,Information Security Awareness,Ibun,11,5000000,5,Health And Safety Environment,Information Security Awareness
7,P0008,BPRS HIK Cibitung,"Dt. Legawa Maulana, S.Pd","Jl. Suniaraja No. 01
Tebingtinggi, BB 22847",+62 (035) 043 7893,jayengnugroho@example.com,Pengangkutan dan Pergudangan,2020-01-08,2,bulan,2,Retail,20000000.0,1,email,negatif,buruk,20,5,25,1,Tidak,1,HR Series,B0008,HR Series,People (HR) Analytics: For HR & Non HR Professional,Reza,8,10000000,0,Build A Great and Strong Corporate Culture,People (HR) Analytics: For HR & Non HR Professional
8,P0009,SK Consulting,Daruna Natsir,"Jalan Wonoayu No. 707
Tanjungbalai, BT 94655",+62-79-795-3820,wibowoghaliyati@example.com,Informasi Dan Komunikasi,2020-01-09,2,bulan,5,Retail,47500000.0,3,phone,netral,sedang,45,13,55,2,Tidak,3,Training Series,B0009,Training Series,Comprehensive Train The Trainers,Haris,11,10000000,5,Drill for Trainers: Mastering 10 Core Trainer's Tools,Comprehensive Train The Trainers
9,P0010,TACO,Jelita Saefullah,"Gg. Waringin No. 996
Binjai, Sumatera Selatan 83407",+62 (0341) 878 2812,ksuryatmi@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",2020-01-10,5,diskon,17,Group,68000000.0,5,social media,positif,bagus,90,28,85,5,Ya,5,Training Series,B0010,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,60,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
