,company_ID,company_name,company_pic,company_address,company_phone,company_email,company_field,transaction_date,level_training_process,purchasing_time_patterns,number_of_participants,group,total_payment,satisfaction,communication_channel,complaints,communication_quality,possibility_of_purchasing_the_same_training,frequency_engagement,brand_sustainability,rating_training,tren_mode_factor,interest_in_discount_program,training_ID,trainer_name,training_total_meetings,training_price,discount_training,training_type,training_name,cross_selling,upselling
0,P0001,Tribakti Inspektama,Lasmanto Pratiwi,"Jalan Cihampelas No. 282
Pontianak, Kalimantan Tengah 30563",+62 (183) 655 1415,muhammadnasyidah@example.org,Aktivitas Keuangan dan Asuransi,2020-01-01,5,diskon,14,Group,108000000.0,5,social media,positif,bagus,88,10,2,5,Ya,5,B0001,Ibun,17,4000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
1,P0002,Bank Bukopin Syariah,Puti Gina Napitupulu,"Jalan Tubagus Ismail No. 02
Sukabumi, BB 74318",(097) 773 7113,januarkamaria@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-01-02,5,diskon,15,Group,99000000.0,5,social media,positif,bagus,91,10,1,5,Ya,5,B0002,Reza,17,11000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
2,P0003,Bank Bukopin Syariah,"Karna Purwanti, S.I.Kom","Gg. Pelajar Pejuang No. 660
Jambi, Jambi 60449",+62 (0801) 007-5669,rprasetyo@example.net,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2020-01-03,5,diskon,11,Group,91200000.0,5,social media,positif,bagus,91,10,2,4,Ya,5,B0003,Ibun,14,7000000,60,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
3,P0004,Kementrian Agama,Tania Yolanda,"Jl. Cihampelas No. 8
Tual, ST 59647",+62-0247-253-2150,iswahyudiraisa@example.net,Konstruksi,2020-01-04,5,diskon,20,Group,120000000.0,5,social media,positif,bagus,87,10,1,5,Ya,5,B0004,Reza,17,11000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
4,P0005,M3kom,Zaenab Anggriawan,"Gang Moch. Ramdan No. 083
Payakumbuh, SS 13214",(025) 406 2520,mulyono67@example.com,Informasi Dan Komunikasi,2020-01-05,5,diskon,17,Group,99000000.0,5,social media,positif,bagus,91,10,1,5,Ya,5,B0005,Haris,17,10000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
5,P0006,Artha Asia Finance,Suci Wibisono,"Jalan Pacuan Kuda No. 75
Batu, JA 99918",+62 (48) 272-1239,kadirfirgantoro@example.org,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-01-06,5,diskon,9,Group,120000000.0,5,social media,positif,bagus,88,10,2,4,Ya,5,B0006,Ibun,12,3000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
6,P0007,Bank Mega,Sutan Joko Mayasari,"Jalan Veteran No. 731
Tegal, GO 71582",(0240) 034 3880,balidin10@example.com,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-01-07,5,diskon,6,Group,96000000.0,5,social media,positif,bagus,89,10,2,3,Ya,5,B0007,Ibun,11,5000000,60,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
7,P0008,BPRS HIK Cibitung,"Dt. Legawa Maulana, S.Pd","Jl. Suniaraja No. 01
Tebingtinggi, BB 22847",+62 (035) 043 7893,jayengnugroho@example.com,Pengangkutan dan Pergudangan,2020-01-08,5,diskon,2,Group,120000000.0,5,social media,positif,bagus,93,10,2,1,Ya,5,B0008,Reza,8,10000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
8,P0009,SK Consulting,Daruna Natsir,"Jalan Wonoayu No. 707
Tanjungbalai, BT 94655",+62-79-795-3820,wibowoghaliyati@example.com,Informasi Dan Komunikasi,2020-01-09,5,diskon,5,Group,120000000.0,5,social media,positif,bagus,94,10,1,2,Ya,5,B0009,Haris,11,10000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
9,P0010,TACO,Jelita Saefullah,"Gg. Waringin No. 996
Binjai, Sumatera Selatan 83407",+62 (0341) 878 2812,ksuryatmi@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",2020-01-10,5,diskon,17,Group,114000000.0,5,social media,positif,bagus,85,10,1,5,Ya,5,B0010,Haris,17,10000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
